epoch 042 | train loss 0.1426 | val acc 0.9120 | val nll 0.2521 | val ece 0.0326
early stopping at epoch 042
final test | best epoch 037 | test acc 0.9099 | test nll 0.2658 | test ece 0.0310
saved checkpoint: checkpoints/fashion_student_kd_fisher_a0p0001.pt
saved metrics: results/fashion_student_kd_fisher_a0p0001.csv
epoch 001 | train loss 1.0973 | val acc 0.7830 | val nll 0.5803 | val ece 0.0437
epoch 002 | train loss 0.5596 | val acc 0.8348 | val nll 0.4669 | val ece 0.0427
epoch 003 | train loss 0.4677 | val acc 0.8503 | val nll 0.4294 | val ece 0.0404
epoch 004 | train loss 0.4197 | val acc 0.8649 | val nll 0.3870 | val ece 0.0356
epoch 005 | train loss 0.3800 | val acc 0.8709 | val nll 0.3638 | val ece 0.0351
epoch 006 | train loss 0.3540 | val acc 0.8710 | val nll 0.3634 | val ece 0.0351
epoch 007 | train loss 0.3398 | val acc 0.8752 | val nll 0.3506 | val ece 0.0375
epoch 008 | train loss 0.3222 | val acc 0.8811 | val nll 0.3381 | val ece 0.0334
epoch 009 | train loss 0.3036 | val acc 0.8818 | val nll 0.3382 | val ece 0.0357
epoch 010 | train loss 0.2973 | val acc 0.8833 | val nll 0.3288 | val ece 0.0362
epoch 011 | train loss 0.2814 | val acc 0.8908 | val nll 0.3122 | val ece 0.0341
epoch 012 | train loss 0.2713 | val acc 0.8899 | val nll 0.3130 | val ece 0.0335
epoch 013 | train loss 0.2631 | val acc 0.8894 | val nll 0.3185 | val ece 0.0354
epoch 014 | train loss 0.2571 | val acc 0.8949 | val nll 0.2985 | val ece 0.0331
epoch 015 | train loss 0.2501 | val acc 0.8964 | val nll 0.2978 | val ece 0.0335
epoch 016 | train loss 0.2407 | val acc 0.8975 | val nll 0.2891 | val ece 0.0332
epoch 017 | train loss 0.2347 | val acc 0.8972 | val nll 0.2868 | val ece 0.0297
epoch 018 | train loss 0.2279 | val acc 0.8991 | val nll 0.2895 | val ece 0.0337
epoch 019 | train loss 0.2253 | val acc 0.8965 | val nll 0.2914 | val ece 0.0309
epoch 020 | train loss 0.2149 | val acc 0.9023 | val nll 0.2729 | val ece 0.0296
epoch 021 | train loss 0.2092 | val acc 0.9026 | val nll 0.2784 | val ece 0.0303
epoch 022 | train loss 0.2062 | val acc 0.8996 | val nll 0.2875 | val ece 0.0392
epoch 023 | train loss 0.2037 | val acc 0.9025 | val nll 0.2740 | val ece 0.0314
epoch 024 | train loss 0.1983 | val acc 0.9058 | val nll 0.2745 | val ece 0.0328
epoch 025 | train loss 0.1957 | val acc 0.9035 | val nll 0.2785 | val ece 0.0376
early stopping at epoch 025
final test | best epoch 020 | test acc 0.8989 | test nll 0.2930 | test ece 0.0329
saved checkpoint: checkpoints/fashion_student_kd_fisher_a0p0003.pt
saved metrics: results/fashion_student_kd_fisher_a0p0003.csv
epoch 001 | train loss 1.0974 | val acc 0.7819 | val nll 0.5824 | val ece 0.0469
epoch 002 | train loss 0.5595 | val acc 0.8351 | val nll 0.4661 | val ece 0.0431
epoch 003 | train loss 0.4668 | val acc 0.8501 | val nll 0.4301 | val ece 0.0391
epoch 004 | train loss 0.4199 | val acc 0.8650 | val nll 0.3869 | val ece 0.0348
epoch 005 | train loss 0.3802 | val acc 0.8713 | val nll 0.3629 | val ece 0.0330
epoch 006 | train loss 0.3535 | val acc 0.8716 | val nll 0.3625 | val ece 0.0357
epoch 007 | train loss 0.3401 | val acc 0.8755 | val nll 0.3490 | val ece 0.0365
epoch 008 | train loss 0.3216 | val acc 0.8812 | val nll 0.3371 | val ece 0.0336
epoch 009 | train loss 0.3030 | val acc 0.8828 | val nll 0.3371 | val ece 0.0360
epoch 010 | train loss 0.2969 | val acc 0.8837 | val nll 0.3279 | val ece 0.0349
epoch 011 | train loss 0.2809 | val acc 0.8917 | val nll 0.3105 | val ece 0.0333
epoch 012 | train loss 0.2706 | val acc 0.8907 | val nll 0.3120 | val ece 0.0303
epoch 013 | train loss 0.2619 | val acc 0.8887 | val nll 0.3199 | val ece 0.0383
epoch 014 | train loss 0.2569 | val acc 0.8948 | val nll 0.2994 | val ece 0.0333
epoch 015 | train loss 0.2493 | val acc 0.8955 | val nll 0.2983 | val ece 0.0325
epoch 016 | train loss 0.2402 | val acc 0.8974 | val nll 0.2890 | val ece 0.0326
epoch 017 | train loss 0.2335 | val acc 0.8980 | val nll 0.2856 | val ece 0.0324
epoch 018 | train loss 0.2266 | val acc 0.8996 | val nll 0.2893 | val ece 0.0345
epoch 019 | train loss 0.2231 | val acc 0.8989 | val nll 0.2890 | val ece 0.0315
epoch 020 | train loss 0.2144 | val acc 0.9023 | val nll 0.2718 | val ece 0.0313
epoch 021 | train loss 0.2079 | val acc 0.9034 | val nll 0.2770 | val ece 0.0302
epoch 022 | train loss 0.2052 | val acc 0.9008 | val nll 0.2855 | val ece 0.0370
epoch 023 | train loss 0.2021 | val acc 0.9020 | val nll 0.2737 | val ece 0.0334
epoch 024 | train loss 0.1975 | val acc 0.9050 | val nll 0.2734 | val ece 0.0310
epoch 025 | train loss 0.1977 | val acc 0.9038 | val nll 0.2748 | val ece 0.0348
early stopping at epoch 025
final test | best epoch 020 | test acc 0.8995 | test nll 0.2916 | test ece 0.0331
saved checkpoint: checkpoints/fashion_student_kd_fisher_a0p001.pt
saved metrics: results/fashion_student_kd_fisher_a0p001.csv
epoch 001 | train loss 1.0976 | val acc 0.7818 | val nll 0.5835 | val ece 0.0440
epoch 002 | train loss 0.5591 | val acc 0.8381 | val nll 0.4638 | val ece 0.0429
epoch 003 | train loss 0.4673 | val acc 0.8494 | val nll 0.4319 | val ece 0.0400
epoch 004 | train loss 0.4191 | val acc 0.8650 | val nll 0.3874 | val ece 0.0340
epoch 005 | train loss 0.3808 | val acc 0.8717 | val nll 0.3632 | val ece 0.0332
epoch 006 | train loss 0.3539 | val acc 0.8706 | val nll 0.3637 | val ece 0.0346
epoch 007 | train loss 0.3403 | val acc 0.8754 | val nll 0.3459 | val ece 0.0351
epoch 008 | train loss 0.3219 | val acc 0.8817 | val nll 0.3372 | val ece 0.0346
epoch 009 | train loss 0.3025 | val acc 0.8819 | val nll 0.3389 | val ece 0.0372
epoch 010 | train loss 0.2960 | val acc 0.8843 | val nll 0.3261 | val ece 0.0347
epoch 011 | train loss 0.2810 | val acc 0.8911 | val nll 0.3115 | val ece 0.0326
epoch 012 | train loss 0.2705 | val acc 0.8900 | val nll 0.3120 | val ece 0.0322
epoch 013 | train loss 0.2616 | val acc 0.8890 | val nll 0.3191 | val ece 0.0357
epoch 014 | train loss 0.2571 | val acc 0.8958 | val nll 0.2989 | val ece 0.0326
epoch 015 | train loss 0.2487 | val acc 0.8948 | val nll 0.2989 | val ece 0.0325
epoch 016 | train loss 0.2400 | val acc 0.8967 | val nll 0.2913 | val ece 0.0308
epoch 017 | train loss 0.2329 | val acc 0.8981 | val nll 0.2857 | val ece 0.0306
epoch 018 | train loss 0.2263 | val acc 0.9005 | val nll 0.2870 | val ece 0.0332
epoch 019 | train loss 0.2227 | val acc 0.8970 | val nll 0.2891 | val ece 0.0330
epoch 020 | train loss 0.2146 | val acc 0.9025 | val nll 0.2725 | val ece 0.0324
epoch 021 | train loss 0.2078 | val acc 0.9017 | val nll 0.2788 | val ece 0.0309
epoch 022 | train loss 0.2048 | val acc 0.9016 | val nll 0.2852 | val ece 0.0356
epoch 023 | train loss 0.2022 | val acc 0.9032 | val nll 0.2730 | val ece 0.0305
epoch 024 | train loss 0.1971 | val acc 0.9036 | val nll 0.2745 | val ece 0.0325
epoch 025 | train loss 0.1959 | val acc 0.9041 | val nll 0.2751 | val ece 0.0338
early stopping at epoch 025
final test | best epoch 020 | test acc 0.8993 | test nll 0.2927 | test ece 0.0337
saved checkpoint: checkpoints/fashion_student_kd_fisher_a0p003.pt
saved metrics: results/fashion_student_kd_fisher_a0p003.csv
epoch 001 | train loss 1.0977 | val acc 0.7800 | val nll 0.5851 | val ece 0.0451
epoch 002 | train loss 0.5589 | val acc 0.8360 | val nll 0.4649 | val ece 0.0418
epoch 003 | train loss 0.4668 | val acc 0.8488 | val nll 0.4323 | val ece 0.0396
epoch 004 | train loss 0.4190 | val acc 0.8653 | val nll 0.3872 | val ece 0.0341
epoch 005 | train loss 0.3812 | val acc 0.8711 | val nll 0.3628 | val ece 0.0331
epoch 006 | train loss 0.3540 | val acc 0.8713 | val nll 0.3631 | val ece 0.0334
epoch 007 | train loss 0.3400 | val acc 0.8764 | val nll 0.3452 | val ece 0.0344
epoch 008 | train loss 0.3216 | val acc 0.8817 | val nll 0.3377 | val ece 0.0350
epoch 009 | train loss 0.3027 | val acc 0.8813 | val nll 0.3388 | val ece 0.0378
epoch 010 | train loss 0.2955 | val acc 0.8845 | val nll 0.3262 | val ece 0.0354
epoch 011 | train loss 0.2807 | val acc 0.8905 | val nll 0.3117 | val ece 0.0336
epoch 012 | train loss 0.2705 | val acc 0.8899 | val nll 0.3116 | val ece 0.0330
epoch 013 | train loss 0.2613 | val acc 0.8889 | val nll 0.3212 | val ece 0.0355
epoch 014 | train loss 0.2576 | val acc 0.8956 | val nll 0.2997 | val ece 0.0331
epoch 015 | train loss 0.2486 | val acc 0.8943 | val nll 0.2991 | val ece 0.0340
epoch 016 | train loss 0.2398 | val acc 0.8968 | val nll 0.2903 | val ece 0.0315
epoch 017 | train loss 0.2328 | val acc 0.8970 | val nll 0.2866 | val ece 0.0316
epoch 018 | train loss 0.2267 | val acc 0.8996 | val nll 0.2882 | val ece 0.0321
epoch 019 | train loss 0.2227 | val acc 0.8978 | val nll 0.2898 | val ece 0.0321
epoch 020 | train loss 0.2147 | val acc 0.9028 | val nll 0.2731 | val ece 0.0328
epoch 021 | train loss 0.2078 | val acc 0.9018 | val nll 0.2787 | val ece 0.0307
epoch 022 | train loss 0.2053 | val acc 0.9007 | val nll 0.2829 | val ece 0.0349
epoch 023 | train loss 0.2024 | val acc 0.9033 | val nll 0.2732 | val ece 0.0324
epoch 024 | train loss 0.1972 | val acc 0.9042 | val nll 0.2747 | val ece 0.0320
epoch 025 | train loss 0.1970 | val acc 0.9051 | val nll 0.2739 | val ece 0.0335
early stopping at epoch 025
final test | best epoch 020 | test acc 0.8991 | test nll 0.2937 | test ece 0.0333
saved checkpoint: checkpoints/fashion_student_kd_fisher_a0p005.pt
saved metrics: results/fashion_student_kd_fisher_a0p005.csv
epoch 001 | train loss 1.0979 | val acc 0.7814 | val nll 0.5828 | val ece 0.0456
epoch 002 | train loss 0.5597 | val acc 0.8352 | val nll 0.4657 | val ece 0.0413
epoch 003 | train loss 0.4673 | val acc 0.8492 | val nll 0.4308 | val ece 0.0374
epoch 004 | train loss 0.4198 | val acc 0.8652 | val nll 0.3874 | val ece 0.0351
epoch 005 | train loss 0.3805 | val acc 0.8713 | val nll 0.3633 | val ece 0.0319
epoch 006 | train loss 0.3539 | val acc 0.8708 | val nll 0.3637 | val ece 0.0350
epoch 007 | train loss 0.3401 | val acc 0.8753 | val nll 0.3498 | val ece 0.0346
epoch 008 | train loss 0.3219 | val acc 0.8808 | val nll 0.3379 | val ece 0.0333
epoch 009 | train loss 0.3037 | val acc 0.8810 | val nll 0.3388 | val ece 0.0359
epoch 010 | train loss 0.2964 | val acc 0.8837 | val nll 0.3265 | val ece 0.0363
epoch 011 | train loss 0.2819 | val acc 0.8911 | val nll 0.3115 | val ece 0.0341
epoch 012 | train loss 0.2713 | val acc 0.8910 | val nll 0.3125 | val ece 0.0317
epoch 013 | train loss 0.2632 | val acc 0.8894 | val nll 0.3187 | val ece 0.0367
epoch 014 | train loss 0.2571 | val acc 0.8952 | val nll 0.2983 | val ece 0.0327
epoch 015 | train loss 0.2501 | val acc 0.8959 | val nll 0.2991 | val ece 0.0334
epoch 016 | train loss 0.2404 | val acc 0.8986 | val nll 0.2854 | val ece 0.0314
epoch 017 | train loss 0.2341 | val acc 0.8985 | val nll 0.2851 | val ece 0.0322
epoch 018 | train loss 0.2277 | val acc 0.8988 | val nll 0.2906 | val ece 0.0318
epoch 019 | train loss 0.2249 | val acc 0.8983 | val nll 0.2902 | val ece 0.0293
epoch 020 | train loss 0.2152 | val acc 0.9016 | val nll 0.2742 | val ece 0.0307
epoch 021 | train loss 0.2102 | val acc 0.9038 | val nll 0.2752 | val ece 0.0278
epoch 022 | train loss 0.2070 | val acc 0.9001 | val nll 0.2856 | val ece 0.0370
epoch 023 | train loss 0.2039 | val acc 0.9037 | val nll 0.2716 | val ece 0.0293
epoch 024 | train loss 0.1981 | val acc 0.9061 | val nll 0.2736 | val ece 0.0324
epoch 025 | train loss 0.1970 | val acc 0.9055 | val nll 0.2759 | val ece 0.0342
epoch 026 | train loss 0.1918 | val acc 0.9060 | val nll 0.2693 | val ece 0.0290
epoch 027 | train loss 0.1875 | val acc 0.9073 | val nll 0.2684 | val ece 0.0335
epoch 028 | train loss 0.1808 | val acc 0.9067 | val nll 0.2680 | val ece 0.0335
epoch 029 | train loss 0.1784 | val acc 0.9086 | val nll 0.2664 | val ece 0.0330
epoch 030 | train loss 0.1746 | val acc 0.8989 | val nll 0.2829 | val ece 0.0335
epoch 031 | train loss 0.1698 | val acc 0.9089 | val nll 0.2563 | val ece 0.0315
epoch 032 | train loss 0.1737 | val acc 0.9104 | val nll 0.2565 | val ece 0.0313
epoch 033 | train loss 0.1663 | val acc 0.9069 | val nll 0.2595 | val ece 0.0314
epoch 034 | train loss 0.1627 | val acc 0.9108 | val nll 0.2566 | val ece 0.0320
epoch 035 | train loss 0.1615 | val acc 0.9105 | val nll 0.2618 | val ece 0.0337
epoch 036 | train loss 0.1587 | val acc 0.9121 | val nll 0.2550 | val ece 0.0318
epoch 037 | train loss 0.1545 | val acc 0.9111 | val nll 0.2499 | val ece 0.0299
epoch 038 | train loss 0.1547 | val acc 0.9092 | val nll 0.2592 | val ece 0.0327
epoch 039 | train loss 0.1520 | val acc 0.9104 | val nll 0.2571 | val ece 0.0323
